Country,Year,Outbound Tourists,Tourist Expenditure (USD),Unemployment rates
Lithuania,2013,4227800.0,"1,502.8",11.8
Lithuania,2014,4291200.0,"1,481.4",10.7
Lithuania,2015,3981100.0,"1,287.9",9.1
Lithuania,2016,4143300.0,"1,379.4",7.9
Lithuania,2017,4294000.0,"1,560.5",7.1
Lithuania,2018,4702700.0,"1,775.2",6.1
Lithuania,2019,4881600.0,"1,614.4",6.3
Lithuania,2020,1643000.0,663.3,8.5
Lithuania,2021,1743000.0,677.8,7.1
Lithuania,2022,3998600.0,"1,413.2",6.0
Luxembourg,2014,3542814.0,"7,963",7.1
Luxembourg,2017,3816770.0,"6,170.3",5.8
Luxembourg,2018,4063193.0,"5,842.2",5.1
Luxembourg,2019,4063246.0,"5,860.5",5.4
Luxembourg,2020,2451983.0,"4,676.1",6.4
Luxembourg,2021,2758657.0,"5,949.2",5.7
Luxembourg,2022,5005013.0,"5,845.5",4.8
Mexico,2011,88113225.505,"9,704.2",5.2
Mexico,2012,87493106.122,"13,319.9",4.9
Mexico,2013,90786644.225,"14,311",4.9
Mexico,2014,90981732.003,"16,606.9",4.8
Mexico,2015,94988430.0,"18,728.2",4.3
Mexico,2016,97371741.0,"20,619.2",3.9
Mexico,2017,94274456.0,"22,467",3.4
Mexico,2018,86279653.0,"26,043.9",3.3
Mexico,2019,82752134.0,"27,126.3",3.5
Mexico,2020,36055831.0,"4,239.7",4.4
Mexico,2021,32977546.0,"6,798.2",4.1
Mexico,2022,41890504.0,"9,633.8",3.3
New Zealand,2011,2092655.0,"7,340.7",6.1
New Zealand,2012,2169149.0,"7,127.2",6.5
New Zealand,2013,2193434.0,"7,411",5.8
New Zealand,2014,2273677.0,"8,607.7",5.4
New Zealand,2015,2408968.0,"9,370.5",5.4
New Zealand,2016,2615366.0,"4,792.2",5.2
New Zealand,2017,2859554.0,"5,432.2",4.8
New Zealand,2018,3045475.0,"5,695.8",4.3
New Zealand,2019,3225428.0,"5,454.9",4.1
New Zealand,2020,511044.0,"7,009.5",4.6
New Zealand,2021,233606.0,"2,866.2",3.8
New Zealand,2022,1628886.0,498.4,3.3
Norway,2011,15219000.0,"5,307.6",3.4
Norway,2012,15609000.0,"5,442",3.3
Norway,2013,16885000.0,"5,642",3.8
Norway,2014,17339000.0,"5,574.9",3.6
Norway,2015,16277000.0,"4,873",4.5
Norway,2016,15719000.0,"5,204.2",4.7
Norway,2017,16800000.0,"5,558",4.2
Norway,2018,16530000.0,"7,283.9",3.9
Norway,2019,18624000.0,"7,033",3.7
Norway,2020,3203000.0,"4,477.7",4.6
Norway,2021,3699000.0,"4,397.5",4.4
Norway,2022,13028000.0,"6,510.6",3.3
Poland,2014,35353285.0,"9,171.3",9.0
Poland,2015,44016571.0,"8,281.1",7.5
Poland,2016,44494222.0,"8,489.1",6.2
Poland,2017,46680735.0,"9,463.6",4.9
Poland,2018,48615002.0,"15,719.7",3.8
Poland,2019,50557724.0,"16,021.9",3.3
Poland,2020,26893473.0,"8,803.9",3.2
Poland,2021,24219832.0,"6,107.8",3.4
Poland,2022,33747863.0,"8,289.2",2.9
Slovak Republic,2011,6119232.0,"2,525.974",13.6
Slovak Republic,2012,4568336.0,"2,371.728",13.9
Slovak Republic,2013,4711077.0,"2,607.5",14.2
Slovak Republic,2014,4853818.0,"2,584",13.1
Slovak Republic,2015,5194081.0,"2,484",11.5
Slovak Republic,2016,5855128.0,"2,809.4",9.7
Slovak Republic,2017,6649426.0,"3,010.2",8.1
Slovak Republic,2018,8321106.0,"3,326.8",6.5
Slovak Republic,2019,9669457.0,"3,353.5",5.7
Slovak Republic,2020,1995756.0,"1,338",6.6
Slovenia,2011,5073000.0,"3,038.7",8.2
Slovenia,2012,4465000.0,"2,804.7",8.9
Slovenia,2013,4440000.0,"2,968.2",10.1
Slovenia,2014,4672000.0,"3,053.2",9.8
Slovenia,2015,4909000.0,"2,593.7",9.0
Slovenia,2016,5408000.0,"2,713.2",8.0
Slovenia,2017,5410000.0,"3,035.9",6.6
Slovenia,2018,5409000.0,"3,388.7",5.1
Slovenia,2019,6049000.0,"3,356.1",4.5
Slovenia,2020,1892000.0,956.8,5.0
Slovenia,2021,3030000.0,"2,041.5",4.7
Slovenia,2022,4727000.0,"3,181.4",4.0
Spain,2011,15943895.252,"74,981.678",21.4
Spain,2012,14916225.495,"70,835.964",24.8
Spain,2013,13433708.546,"68,517.6",26.1
Spain,2014,13951915.42,"71,583.6",24.4
Spain,2015,15048207.21,"62,475.6",22.1
Spain,2016,16144499.0,"66,802.7",19.6
Spain,2017,17593631.0,"75,329.4",17.2
Spain,2018,19750466.0,"81,684.2",15.3
Spain,2019,20096855.0,"79,669.7",14.1
Spain,2020,5610298.0,"8,648.7",15.5
Spain,2021,7556917.0,"34,533.7",14.9
Spain,2022,16086624.0,"72,891",13.0
Switzerland,2017,24594154.91,"21,464.7",3.1
Switzerland,2018,26397333.44,"21,459.1",2.5
Switzerland,2019,21359794.83,"21,251.3",2.3
Switzerland,2020,16243539.726,"10,384.2",3.2
Switzerland,2021,11127284.622,"12,669.389",3.0
Switzerland,2022,17942953.71,"17,564.3",2.2
Turkey,2011,6282000.0,"5,386.3",9.0
Turkey,2012,5803000.0,"4,597.2",8.3
Turkey,2013,7526000.0,"5,262.9",8.9
Turkey,2014,7982000.0,"5,472.1",9.9
Turkey,2015,8751000.0,"5,698.7",10.3
Turkey,2016,7892000.0,"5,025",10.9
Turkey,2017,8887000.0,"4,620",10.9
Turkey,2018,8389000.0,"5,002.9",10.9
Turkey,2019,9653000.0,"5,259.228",13.7
Turkey,2020,2243000.0,"13,566.905",13.1
Turkey,2021,2738000.0,"28,789.706",12.0
Turkey,2022,7267000.0,"41,701.7",10.4
United Kingdom,2011,67493426.49,"69,401.7",8.1
United Kingdom,2012,66858104.129,"70,815.3",8.0
United Kingdom,2013,68958598.326,"81,724.5",7.6
United Kingdom,2014,72203875.12,"85,691",6.2
United Kingdom,2015,77618721.904,"83,944.1",5.4
United Kingdom,2016,81757304.483,"81,741.2",5.0
United Kingdom,2017,87241931.02,"66,063.7",4.5
United Kingdom,2018,90570618.506,"72,842.8",4.2
United Kingdom,2019,93085771.735,"74,413.6",3.9
United Kingdom,2020,56113885.8675,"32,383.4",4.7
United Kingdom,2021,19142000.0,"40,110.5",4.6
United Kingdom,2022,70950000.0,"74,412.6",3.9
United States,2011,114088644.0,"178,935",8.9
United States,2012,116327459.0,"195,114",8.1
United States,2013,118438102.496,"213,103",7.4
United States,2014,121708536.784,"222,747",6.2
United States,2015,130907227.811,"230,574",5.3
United States,2016,141526240.528,"228,551",4.9
United States,2017,148017144.765,"233,759",4.4
United States,2018,148083374.0,"241,985",3.9
United States,2019,158091551.4,"239,064",3.7
United States,2020,61702592.467,"84,296",8.1
United States,2021,70891107.538,"84,169",5.4
United States,2022,102523930.024,"165,460",3.6
